"record_id","path","artifact_type","authority","review_scope","locators","line_count","size_bytes","sha256","alignment_status","execution_status","portability","notes"
"C011","E:/Documents/brainco_for_Dexhand_V1/inference_acceleration_20260807/sealed_remote_evidence/robodojo-starvla-last-decoder-layer-cudagraph-paired-timing-20260813-137/runs/last_decoder_layer_cudagraph/reports/summary.json","experiment-result","active-local","structured-fields","protocol; timings_ms; paired_comparison; action; instrumentation","338","9883","4ae6c1e9c5e18dc12075ef9e4d6178a595b95d14be661c51d380d3405d78d5bf","not-applicable","not-run","StarVLA-specific","Wall 0.980316x; Qwen 0.976796x; max_abs 0"
"R001","E:/Documents/brainco_for_Dexhand_V1/inference_acceleration_20260807/references/code/realtime-vla-flash-main/README.md","upstream-doc-snapshot","reference-snapshot","full","L1-L118; highlights L21-L25; commands L46-L101","118","3476","cc781a47238c98bfaa957fac890e13d89670438338d310a3294e59c0421d9688","unknown","not-run","Pi0 speculative upstream","README identifies github.com/dexmal/realtime-vla-flash; snapshot has no .git metadata"
"R002","E:/Documents/brainco_for_Dexhand_V1/inference_acceleration_20260807/references/code/realtime-vla-flash-main/src/openpi/models_pytorch/spec_pi0_pytorch.py","upstream-source-snapshot","reference-snapshot","symbol-range","L42-L211; L280-L311; L350-L796","1021","44609","f74b2906370c9cf2e3156b2d42a604c2c2c8c90bac48ae7298b57d593ba78987","unknown","not-run","Pi0/Pi0.5 transferable","Draft chunk; K-way verify; prefix acceptance/stitch; fallback"
"R003","E:/Documents/brainco_for_Dexhand_V1/inference_acceleration_20260807/references/code/realtime-vla-flash-main/scripts/spec/triton/pi0_spec_infer.py","upstream-source-snapshot","reference-snapshot","symbol-range","L648-L799; L1158-L1257; L1830-L2062; L3688-L3729","3837","155931","f54bfd2302b659f51e82a07ca0d6d52fa603226ce50c2a75059a70aadb14cf2a","unknown","not-run","Pi0 speculative/Triton","Fused accept/stitch and compiled draft/verify paths"
"R004","E:/Documents/brainco_for_Dexhand_V1/inference_acceleration_20260807/references/code/realtime-vla-flash-main/scripts/spec/triton/triton_pi0_runtime.py","upstream-source-snapshot","reference-snapshot","symbol-range","L827-L972; L1296-L1521; L1522-L1661","1954","81371","049f3a51fd461c09ed0977be82b1d672980c7facf263c16b29f886bde25163bc","unknown","not-run","Pi0 speculative/Triton","Runtime state; full/draft/verify round timing; scheduled fallback"
"R005","E:/Documents/brainco_for_Dexhand_V1/inference_acceleration_20260807/references/code/realtime-vla-flash-main/src/openpi/policies/policy.py","upstream-interface-snapshot","reference-snapshot","indexed","L1-L166","166","7019","90c37bb6eddc3a3d45589f56f8d8a39e3661485b58a72343c9d38e1d805a4d7e","unknown","not-run","Pi0 policy interface","Indexed dependency boundary; not used for a standalone execution claim"
"T001","E:/Documents/brainco_for_Dexhand_V1/inference_acceleration_20260807/references/code/FlashRT-archive-b/FlashRT-main/docs/rtc_lite_design.md","FlashRT-doc","reference-snapshot","full","L1-L89","89","2751","a1cb5280f31a870713e55fabf2cf2b50974d8fa1f56e766cc90018aff70c8c98","unknown","not-run","generic controller","Legacy async chunk runner design"
"T002","E:/Documents/brainco_for_Dexhand_V1/inference_acceleration_20260807/references/code/FlashRT-archive-b/FlashRT-main/docs/rtc_temporal_fusion.md","FlashRT-doc","reference-snapshot","full","L1-L195","195","6700","773f360bc9b9fa9ccea4645ffd53e59f1e6054c2c76966915b52dcf4f3f1f984","unknown","not-run","generic controller","Step-aligned overlapping temporal fusion"
"T003","E:/Documents/brainco_for_Dexhand_V1/inference_acceleration_20260807/references/code/FlashRT-archive-b/FlashRT-main/flash_rt/runtime/rtc.py","FlashRT-source","reference-snapshot","full","L1-L261","261","9404","88941ebe67f38a8042a7bd14578fd6e2f0b265068c0d79ec705d48facdbf7c86","unknown","not-run","generic controller","AsyncChunkRunner; one worker; hold_last/block; simple blend"
"T004","E:/Documents/brainco_for_Dexhand_V1/inference_acceleration_20260807/references/code/FlashRT-archive-b/FlashRT-main/flash_rt/runtime/rtc_temporal_fusion.py","FlashRT-source","reference-snapshot","full","L1-L545","545","23027","055812f606c1fdc4c304137b1cdd8efcf95f5ffeb4ae6d2adc906229e865f762","unknown","not-run","generic controller","Exponential overlap fusion; observation snapshot; latency/state switch"
"T005","E:/Documents/brainco_for_Dexhand_V1/inference_acceleration_20260807/references/code/FlashRT-archive-b/FlashRT-main/flash_rt/subgraphs/pi05/rtc_prefix.py","FlashRT-source","reference-snapshot","full","L1-L79","79","2785","efc66b4003c4c1ec74ebec2e500e7e9aca52fad961713053692737fd1a6069e3","unknown","not-run","Pi0.5-specific","Fixed-prefix capture graph"
"T006","E:/Documents/brainco_for_Dexhand_V1/inference_acceleration_20260807/references/code/FlashRT-archive-b/FlashRT-main/flash_rt/subgraphs/pi05/rtc_vjp_guided.py","FlashRT-source","reference-snapshot","full","L1-L96","96","3587","82101ebb099170cdddbe01b1a17b0464b4e839209a13b34b1b18f45d4fab2d8a","unknown","not-run","Pi0.5-specific extension","Mandatory DenoiserVjpProvider; stock pipeline has no VJP surface"
"T007","E:/Documents/brainco_for_Dexhand_V1/inference_acceleration_20260807/references/code/FlashRT-archive-b/FlashRT-main/flash_rt/models/pi05/pipeline_rtx.py","FlashRT-source","reference-snapshot","symbol-range","L99; L135-L207; L382-L389; L1436-L1502; L2064-L2083; L2210-L2222","2224","109308","c53412c21abba87e1d452bec7754ce2d88176420736970ff74b3e7d7fb02e8a7","unknown","not-run","Pi0.5 RTX","Prefix copy before/after every denoise step; internal action dim 32"
"T008","E:/Documents/brainco_for_Dexhand_V1/inference_acceleration_20260807/references/code/FlashRT-archive-b/FlashRT-main/flash_rt/models/pi05/pipeline_rtx_fp16.py","FlashRT-source","reference-snapshot","symbol-range","L430; L1474-L1555; L2171-L2173","2276","110914","126eb4b2fe8882c59a0c92c57c9286b7edcfef704b9aff091f3c047d16ec31eb","unknown","not-run","Pi0.5 RTX-FP16","FP16 prefix-lock counterpart"
"T009","E:/Documents/brainco_for_Dexhand_V1/inference_acceleration_20260807/references/code/FlashRT-archive-b/FlashRT-main/flash_rt/models/pi05/pipeline_thor.py","FlashRT-source","reference-snapshot","symbol-range","L59-L101; L153-L248; L349-L488; L530-L602; L820-L929","929","41495","302958943d4cbc88af96f051d7195138accf66653471385b023eb0614c2b0027","unknown","not-run","Pi0.5 Thor","Thor prefix restore and graph registration"
"T010","E:/Documents/brainco_for_Dexhand_V1/inference_acceleration_20260807/references/code/FlashRT-archive-b/FlashRT-main/tests/test_rtc_lite.py","FlashRT-test","reference-snapshot","full","L1-L81","81","2373","6fe174f94211f59f0514adcb36240bfd6f3c98f5ff2cb4e0acf529010c6281d6","unknown","not-run","generic controller","Unit contract for legacy async runner"
"T011","E:/Documents/brainco_for_Dexhand_V1/inference_acceleration_20260807/references/code/FlashRT-archive-b/FlashRT-main/tests/bench_rtc_temporal_fusion.py","FlashRT-benchmark-source","reference-snapshot","full","L1-L58","58","1983","b3fde2bddd02f33d3706f022874ac9400814d3606edc6c40173f3f0b940e4570","unknown","not-run","generic controller","Synthetic temporal-fusion benchmark; not real-robot proof"
"V001","E:/BrainCo_Intern/flash_inference/RoboDojo_VLA_Inference_Acceleration_Project_20260818_v11_FINAL_local_remote_synchronized_port1022.zip","authoritative-archive","V11-authoritative","archive-manifest","20,947 unique entries; CRC/manifest sidecars re-opened","","111548814","456a817b3a1355d72fcfc8f43856d61c0a1aed53338a3ac2b8810dc9b09b9b9f","aligned","not-run","project evidence","Sole ZIP currently present; no model/weight/generated bulk extracted"
"V002","E:/BrainCo_Intern/flash_inference/LATEST_SOURCE_BACKUP.txt","authority-pointer","V11-authoritative","full","L1-L5","5","348","a398bf147c1422819991f4382d217b2be3ea2178f9890bc065f90c78a1a3a061","aligned","not-run","project evidence","Marks V11 authoritative"
"V003","E:/BrainCo_Intern/flash_inference/RoboDojo_VLA_Inference_Acceleration_Project_20260818_v11_FINAL_CONTENTS_AND_OMISSIONS.md","archive-report","V11-authoritative","full","L1-L40","40","3825","7bf0f4288642b2848c257f4925fd9660adf7ee91bfbc8697f316eba17fffab60","aligned","not-run","project evidence","Storage-state L37-L39 superseded by cleanup receipt"
"V004","E:/BrainCo_Intern/flash_inference/RoboDojo_VLA_Inference_Acceleration_Project_20260818_v11_FINAL_local_remote_synchronized_port1022.validation.json","archive-validation","V11-authoritative","full-json","L1-L35","35","1357","138198a9f1af1e0f17ec8c7f0040bd59ab93228119b684d10ec2e37545e50119","aligned","not-run","project evidence","valid=true; unique entries; manifest/CRC checks"
"V005","E:/BrainCo_Intern/flash_inference/RoboDojo_VLA_Inference_Acceleration_Project_20260818_v11_FINAL_SYNC_COVERAGE_AUDIT.json","coverage-audit","V11-authoritative","full-json","L1-L54","54","1767","2a654504eeef464cea21a26405bfaf4c940f564df0acdfdd6caa4357eab5f701","aligned","not-run","project evidence","Local/remote selected-scope hash coverage"
"V006","E:/BrainCo_Intern/flash_inference/V11_LOCAL_CLEANUP_RECEIPT_20260818.md","cleanup-receipt","V11-authoritative","full","L1-L39","39","2491","ea3a5c7acb59ae559d953c687b8990c97086ac662855d32e883da51f7870c575","aligned","not-run","project evidence","Current storage authority: V11 is sole retained ZIP"
"Z001","zip://E:/BrainCo_Intern/flash_inference/RoboDojo_VLA_Inference_Acceleration_Project_20260818_v11_FINAL_local_remote_synchronized_port1022.zip!/remote_baseline_20260812/experiments/robodojo-starvla-cudagraph-quality-20260809-030/reports/final_quality.json","archived-result","V11-authoritative","structured-fields+hash","accepted flags; aggregate; baseline; decision","1041","30774","5bd6bd5b60f3decc2ae2b334b3e7a84210f3c2fb7017dbc68a52077ce43d4beb","not-applicable","not-run","StarVLA/RoboDojo-specific","16/50; score 36.2; research true; deployment false"
"Z002","zip://E:/BrainCo_Intern/flash_inference/RoboDojo_VLA_Inference_Acceleration_Project_20260818_v11_FINAL_local_remote_synchronized_port1022.zip!/remote_baseline_20260812/experiments/robodojo-starvla-cudagraph-quality-20260809-030/reports/final_audit.json","archived-audit","V11-authoritative","structured-fields+hash","status; decision; accepted flags","116","4228","a47531f752e2074cecd2bd2e494e4dcd4bcfd2bf0b37b11fedbd7eb1297fd59b","not-applicable","not-run","StarVLA/RoboDojo-specific","status=fail; audit_failed_preserve_experiment"
"Z003","zip://E:/BrainCo_Intern/flash_inference/RoboDojo_VLA_Inference_Acceleration_Project_20260818_v11_FINAL_local_remote_synchronized_port1022.zip!/remote_baseline_20260812/experiments/robodojo-starvla-cudagraph-quality-audit-requalification-inode-fix-20260809-033/reports/requalification_audit.json","archived-audit","V11-authoritative","structured-fields+hash","status; decision; six named checks and details","137","6094","4fa7e8a2a4881ea7ab10a90a1cb26d10b7c7b6e6c386ee11fbbf5fbc9d13bdf1","not-applicable","not-run","audit-only","Pass; source EXP030 remains failed; scientific inputs unmodified"
"Z004","zip://E:/BrainCo_Intern/flash_inference/RoboDojo_VLA_Inference_Acceleration_Project_20260818_v11_FINAL_local_remote_synchronized_port1022.zip!/remote_baseline_20260812/experiments/robodojo-starvla-cudagraph-quality-audit-requalification-inode-fix-20260809-033/sealing_receipt.json","archived-receipt","V11-authoritative","full-json+hash","all keys","18","960","e866944a821f8c392fda5086927ea4b7a8e462cce5bb8dae21c8e56424c80914","not-applicable","not-run","audit-only","pass_sealed; no model/environment execution; research only"
"Z005","zip://E:/BrainCo_Intern/flash_inference/RoboDojo_VLA_Inference_Acceleration_Project_20260818_v11_FINAL_local_remote_synchronized_port1022.zip!/remote_current_delta_20260818_port1022/experiments/robodojo-starvla-flashrt-all36-risk-budget18-action-latency-instance-requalification-20260813-140/reports/benchmark_result.json","archived-result","V11-authoritative","structured-fields+hash","claim_scope; action_aggregate; selected/rejected; end_to_end_timing; rollback_action; gates","94402","2501719","e35250e1b97e691d28c950b057c8e44e073f97b33d9b5ae941cb01d7efc00687","not-applicable","not-run","StarVLA/Qwen FP8-specific","18-layer set; 9 observations; 1.0348x/1.0347x; no candidate execution"
"Z006","zip://E:/BrainCo_Intern/flash_inference/RoboDojo_VLA_Inference_Acceleration_Project_20260818_v11_FINAL_local_remote_synchronized_port1022.zip!/remote_current_delta_20260818_port1022/experiments/robodojo-starvla-flashrt-all36-risk-budget18-action-latency-instance-requalification-20260813-140/reports/audit.json","archived-audit","V11-authoritative","full-json+hash","L1-L120","120","4760","8b7738ce669ac9197501462f4e60e4c0fea0883761d40737f5d68e14d0ac0c81","not-applicable","not-run","StarVLA/Qwen FP8-specific","scientific pass; closed-loop/deployment false"
"Z007","zip://E:/BrainCo_Intern/flash_inference/RoboDojo_VLA_Inference_Acceleration_Project_20260818_v11_FINAL_local_remote_synchronized_port1022.zip!/remote_current_delta_20260818_port1022/experiments/robodojo-starvla-flashrt-all36-risk-budget18-action-latency-instance-requalification-20260813-140/reports/final_summary.md","archived-summary","V11-authoritative","full","L1-L11","11","593","2dc6af0480d37fd77b5a5941e777ce12c0c3f6c23ff62fcc1d307b0cfd4f2114","not-applicable","not-run","StarVLA/Qwen FP8-specific","Concise EXP140 outcome"
"Z008","zip://E:/BrainCo_Intern/flash_inference/RoboDojo_VLA_Inference_Acceleration_Project_20260818_v11_FINAL_local_remote_synchronized_port1022.zip!/remote_current_delta_20260818_port1022/experiments/robodojo-starvla-flashrt-all36-risk-budget18-action-latency-instance-requalification-20260813-140/sealing_receipt.json","archived-receipt","V11-authoritative","full-json+hash","L1-L134","134","2261","f074d2f092a3b4feefb2f227f914a9fbb761fc24019e8edbfc1f51c52cfddc6e","not-applicable","not-run","StarVLA/Qwen FP8-specific","Sealed; only fixed-protocol closed-loop successor authorized"
