"source","path","total_lines","sha256","reviewed","reviewed_lines","disposition","notes"
"upstream@230ea79b","rlinf/algorithms/rlt/rollout.py","84","77ccb5815c58e5583f90aa3d04b8cc94107c3d6d630f164f0d04972743ebf4d2","yes","1-84","included","rollout helper"
"upstream@230ea79b","rlinf/algorithms/expert.py","47","5f9ef3d81946aee07aa43b65ad0d9118586b29fa3e845cfff2c0c6c9474034f5","yes","1-47","included","expert interface used by RLT route"
"upstream@230ea79b","rlinf/models/embodiment/modules/rlt_token_transformer.py","389","342a313e32fd94bb354c691f02babcf4e90c06a7f50ec392e403023a14d4af20","yes","1-389","included","official learned RLT token module"
"upstream@230ea79b","rlinf/models/embodiment/mlp_policy/rlt_mlp_policy.py","232","3cef8244e072ad9b4cc1057ac3d6836f1d2992ccf50a96650cec9b861b881709","yes","1-232","included","official AC MLP policy"
"upstream@230ea79b","rlinf/models/embodiment/mlp_policy/rlt_td3_mlp_policy.py","372","cd370f24bd95a04e1f830ad776faf5e36f2ecfc058a58c91887c08ba43b1f260","yes","1-372","included","official direct actor and Twin-Q policy"
"upstream@230ea79b","rlinf/workers/actor/fsdp_rlt_ac_policy_worker.py","923","ae01e2d86bc8c446931e47697a89f3be9219bba27ac5263a86665cfca0535077","yes","1-923","included","official RLT AC losses and update path"
"upstream@230ea79b","rlinf/workers/actor/fsdp_rlt_td3_policy_worker.py","178","27d1a48d6b2a2c55e6bbf8aa326e76378f4cf3e937444dd532d99345f148549b","yes","1-178","included","official RLT TD3 actor loss"
"upstream@230ea79b","rlinf/workers/rollout/hf/huggingface_worker.py","1023","d622c5b023aae23c8e50b6ce56142e43dd06f448c48ce68e5901b83d5073c9d4","partial","1-190;531-610;651-905;926-985","included-relevant-ranges","generic worker; reviewed model init freeze RLT action and rollout lifecycle ranges"
"upstream@230ea79b","tests/unit_tests/test_rlt_token_transformer.py","110","d4548e5f768fe1a2098999a58a9ca014fb51e18085b864d6547cc6ccd2285e1a","yes","1-110","included","RLT token unit test"
"upstream@230ea79b","tests/e2e_tests/embodied/maniskill_rlt_stage2_ac_mlp.yaml","231","89d904127265380f28ebdeb721f679370dc44a0971c8457932e537033fc71e7a","yes","1-231","included","Stage2 e2e config"
"upstream@230ea79b","tests/e2e_tests/sft/maniskill_rlt_stage1_sft_openpi_pi05.yaml","105","c969ef5e77bba1df142fc90701161504df0b0d4fe9874978cc9144663977984d","yes","1-105","included","Stage1 e2e config"
"local@ce455aa+dirty","AGENTS.md","140","3f7f6c29e2c892ef62810dffdd1d47cb8b91b933b8281f6cda8e737d94307965","yes","1-140","included","local repository instructions"
"local@ce455aa+dirty","third_party_review/LaST-R1_stackone_bridge_20260518/README.md","102","5704fd8f727a6bd3069016d9508572621c6b5875c365ce052b595b085083f621","yes","1-102","included","LaST-R1 bridge source README"
"local@ce455aa+dirty","third_party_review/LaST-R1_stackone_bridge_20260518/STACKONE_BRIDGE_README.md","30","52ba411c23e3ef4ee162d94b6fca80846a2c1375fdf16688bee52b9494137215","yes","1-30","included","custom bridge README"
"local@ce455aa+dirty","third_party_review/LaST-R1_stackone_bridge_20260518/stackone_bridge/trajectory_lapo.py","379","8b92a123a5702f6bfc1a1559aed85ae23f9baeaa5c91ee9e66f230d785106bd5","yes","1-379","included","bridge v1 trajectory updater"
"local@ce455aa+dirty","third_party_review/LaST-R1_stackone_bridge_20260518/stackone_bridge/trajectory_lapo_v2_terminal_guard.py","434","570d694cfd5bfce4e1b6087149be9e396a0c30131b369a7c03a3627dd2c7bf1a","yes","1-434","included","112-success GAE PPO BC updater"
"local@ce455aa+dirty","third_party_review/LaST-R1_stackone_bridge_20260518/scripts/stackone_bridge_train.py","307","b9afbf0fc0b04bcdb8c556d0b7b73cb52e9911bc2175f3deea2c55d9c85fb933","yes","1-307","included","generic bridge entry"
"local@ce455aa+dirty","third_party_review/LaST-R1_stackone_bridge_20260518/scripts/stackone_bridge_train_openpi_pi05.py","311","275d259caea782c70b43a4ac4cfdbda3973850ce982d09aaa85f7815540c5129","yes","1-311","included","OpenPI bridge entry"
"local@ce455aa+dirty","third_party_review/LaST-R1_stackone_bridge_20260518/scripts/stackone_bridge_train_openpi_pi05_v2_terminal_guard.py","324","bfd8bdfcf61202150637be53209edf6dd56d37b2a5f67672f979cd50eff4342e","yes","1-324","included","112-success train entry"
"local@ce455aa+dirty","third_party_review/LaST-R1_stackone_bridge_20260518/scripts/stackone_bridge_train_openpi_pi05_v2d_prehit_refpulse.py","344","22967dc069019f1fdc1b7b708916d0c98999b707b66f0c0b6def9ac9586bf340","yes","1-344","included","112-success composite eval entry"
"local@ce455aa+dirty","third_party_review/LaST-R1_stackone_bridge_20260518/scripts/launch_stackone_bridge_v2b_frombase_pi05_80eps_seed93061_20260519.sh","160","59712fcb9b109128eff80fe028711690dd28ad2ccb7dac243c241f8d6dbeeadc","yes","1-160","included","first 80 training episodes launcher"
"local@ce455aa+dirty","third_party_review/LaST-R1_stackone_bridge_20260518/scripts/launch_stackone_bridge_v2b_frombase_pi05_resume_iter5_to_iter7_seed93062_20260519.sh","161","cbff1359db8275d3a37f609ab5cf29f55e71de38a226d84d72abe06ac0bcada5","yes","1-161","included","32 episode resume launcher"
"local@ce455aa+dirty","third_party_review/LaST-R1_stackone_bridge_20260518/scripts/launch_eval_frombase_pi05_last_r1_bridge_v2d_sampler128_generic_20260519.sh","178","e091ab5fc5a15915938e7e0b7a97be476d19867698a1fa8892c7d043d5443cb0","yes","1-178","included","generic 128-eval launcher"
"local@ce455aa+dirty","results/stackone_pi05rlt_frombase_pi05_last_r1_bridge_iter7_v2d_sampler128_seed93107_20260519/launch_eval_direct.sh","178","e091ab5fc5a15915938e7e0b7a97be476d19867698a1fa8892c7d043d5443cb0","yes","1-178","included","exact copied eval launcher; hash-identical to generic launcher"
"local@ce455aa+dirty","third_party_review/LaST-R1_stackone_bridge_20260518/verl/trainer/ppo/core_algos.py","514","b561cffccf6483c8e3a5d35aaee38d22dfadd10d657baf44f4639451f39bf1dd","partial","69-116;281-397","included-relevant-ranges","LaST-R1 vendored dependency; reviewed only directly called GAE PPO and latent PPO functions"
"local@ce455aa+dirty","scripts/train_stackone_rlt_td3_pi05rlt_official_bcsum_pass_copy.py","3282","30e320b5e070888a4a329283d160c3dc09f00847605ceca29bca91bf00831a74","yes","1-3282","included","base collector reward replay and Stack-One helper"
"local@ce455aa+dirty","third_party_review/LaST-R1_stackone_bridge_20260518/scripts/train_stackone_rlt_td3_pi05rlt_official_bcsum_pass_midchunk_success_clamp_v2d_prehit_pulse_copy.py","3411","e7ea252ae159fcbb4410f0cdc7e9f38a48e9f6971d864ae1394b57e4296b13ac","yes","1-3411","included","reviewed by full base plus complete no-index diff covering every changed line"
"local@ce455aa+dirty","rlinf/models/embodiment/rlt_td3/openpi_pi05_rlt_td3_official_pass_copy.py","647","4225baa78aa909b4f0341335ce1e55db70a95374b4b9c86a133414ee18bdd7f9","yes","1-647","included","frozen OpenPI actor Twin-Q model"
"local@ce455aa+dirty","rlinf/models/embodiment/rlt_td3/__init__.py","15","15e4df8266ae7182e452121f1a10a438c8ebab15560171a5da6f3ac00b684507","yes","1-15","included","local RLT TD3 exports"
"local@ce455aa+dirty","rlinf/models/embodiment/modules/rl_token.py","202","26d0443431565b47b1837b7d0babbbf198625f4c26d5ccac54d204fbeff31191","yes","1-202","included","alternative local RL token module; not called by 112-success"
"local@ce455aa+dirty","scripts/stackone_strict_success.py","157","564de34a2498f299c080c796f814a9843f748c9b3a192c2a849764cee6e90dc0","yes","1-157","included","strict simulation success helper"
"local@ce455aa+dirty","scripts/verify_pi05_official_rlt_alignment.py","388","91442bd677ddce8dcd31666eeaf1e9f4e791ac3f2aa84e53f1ecd0b605a0f9f9","yes","1-388","included","text guard for separate VLARLKit TD3 lineage; executed 40 of 40 pass"
"local@ce455aa+dirty","exp_report/20260518_last_r1_openpi_bridge_v2b_sampler128.md","177","6d10264ba378db61f179bcb8e1b2f2e230154d10f21b8a15246148f5c04d6175","yes","1-177","included","key bridge experiment summary and caveats"
"local@ce455aa+dirty","exp_report/stackone_last_r1_frombase_iter_cost_curve_20260519.md","52","0683e2f1d80e4ae2b3e0795ac5cd168e55a14700037cd811566f74048312e76c","yes","1-52","included","112-episode cost curve and lineage distinction"
"local@ce455aa+dirty","exp_report/xvla_112_success_codepath_audit_20260529.md","60","50967ec2eb650d4f9adeb4e5c990b5cc94c8ac598ce5d8612415cd57adbac035","yes","1-60","included","first-party declaration of 112-success codepath"
"local@ce455aa+dirty","exp_report/2026-05-10-stackone-rlt-pi05-reference-repeat32.md","451","a3ea876b3798207d42d5632f8ade7af2a96c9854ff4e683b84b5b41ad55dadff","yes","1-451","included","baseline and earlier TD3 experiment history"
"local@ce455aa+dirty","sop/stack_one/2026-05-17-rl-token-v1-success-sop.zh.md","120","49de715f6549a7f54463e7ed7e7ccd631545e54b2b06acb0f8923d3130d5954c","yes","1-120","included","key Stack-One RLT SOP"
"local@ce455aa+dirty","results/stackone_pi05rlt_frombase_pi05_openpi_last_r1_bridge_v2b_fullppo_bcsum_80eps_seed93061_20260519/online_lapo/command.txt","1","c538fceec92836bd68f906ef57aae6976a1e77a7ea3bdf9297252daf738d4158","yes","1","included","exact 80-episode command"
"local@ce455aa+dirty","results/stackone_pi05rlt_frombase_pi05_openpi_last_r1_bridge_v2b_fullppo_bcsum_80eps_seed93061_20260519/online_lapo/config_last_r1_stackone_bridge.json","182","f38693af5f5060ec9e2377dfa62229267f08f2e698c2c84b843d9f8c3d8de461","yes","1-182","included","realized first-stage config"
"local@ce455aa+dirty","results/stackone_pi05rlt_frombase_pi05_openpi_last_r1_bridge_v2b_fullppo_bcsum_80eps_seed93061_20260519/online_lapo/stage2_last_r1_stackone_bridge_metrics.jsonl","5","473bd8bcdc0769ceabb65d64a72de0668232b4ba8c5f87ad60bee2a5577759a0","yes","1-5","included","five training-window metrics"
"local@ce455aa+dirty","results/stackone_pi05rlt_frombase_pi05_openpi_last_r1_bridge_v2b_fullppo_bcsum_80eps_seed93061_20260519/online_lapo/train.log","306","83fb951be8960ab6ad2ecb89b316ed8c20556bd733e5a4e5e6838d32b81ff7ac","yes","1-306","included","model count and training log"
"local@ce455aa+dirty","results/stackone_pi05rlt_frombase_pi05_openpi_last_r1_bridge_v2b_fullppo_bcsum_resume_iter5_to_iter7_seed93062_20260519/online_lapo/command.txt","1","7f2666f0452320112e97f6aa1e38e3f61c4a42eef38344f60b0c1f70867876ac","yes","1","included","exact 32-episode resume command"
"local@ce455aa+dirty","results/stackone_pi05rlt_frombase_pi05_openpi_last_r1_bridge_v2b_fullppo_bcsum_resume_iter5_to_iter7_seed93062_20260519/online_lapo/config_last_r1_stackone_bridge.json","182","0c744ee163e583411568c13327029eebbc9005c88d4eb47c076f284d01360401","yes","1-182","included","realized resume config"
"local@ce455aa+dirty","results/stackone_pi05rlt_frombase_pi05_openpi_last_r1_bridge_v2b_fullppo_bcsum_resume_iter5_to_iter7_seed93062_20260519/online_lapo/stage2_last_r1_stackone_bridge_metrics.jsonl","2","38aecaf3d3c5a6e8a53b13e4f647383a3d7cdb71d0b74a00e7e3af7c4cf149e7","yes","1-2","included","two resume-window metrics"
"local@ce455aa+dirty","results/stackone_pi05rlt_frombase_pi05_openpi_last_r1_bridge_v2b_fullppo_bcsum_resume_iter5_to_iter7_seed93062_20260519/online_lapo/train.log","295","bf519646b34a720c4e66561334a49237f2d54510f7c562a6dd3e388f1d17e533","yes","1-295","included","resume training log"
"local@ce455aa+dirty","results/stackone_pi05rlt_frombase_pi05_last_r1_bridge_iter7_v2d_sampler128_seed93107_20260519/online_lapo/command.txt","1","da01e9b700c42b0520cf934256bb45cbf27034845ab10aec2aba6381c0d5e312","yes","1","included","exact 128-eval command"
"local@ce455aa+dirty","results/stackone_pi05rlt_frombase_pi05_last_r1_bridge_iter7_v2d_sampler128_seed93107_20260519/online_lapo/config_last_r1_stackone_bridge.json","193","fc715f419bc161a25be2286697afe0745347c32ceb0d558d14eee4df709021ad","yes","1-193","included","realized composite eval config"
"local@ce455aa+dirty","results/stackone_pi05rlt_frombase_pi05_last_r1_bridge_iter7_v2d_sampler128_seed93107_20260519/online_lapo/stage2_last_r1_stackone_bridge_metrics.jsonl","4","19f4b41b8f5900b0b5b6cb50960d01643e98f12c36cdbdd8ae73acf9b1305ec7","yes","1-4","included","four sampler-only shard metrics"
"local@ce455aa+dirty","results/stackone_pi05rlt_frombase_pi05_last_r1_bridge_iter7_v2d_sampler128_seed93107_20260519/online_lapo/train.log","303","6bb378ac5b9cfe23c545e4bc0e99910e0967e270789acc86fc26f3c84b5dc000","yes","1-303","included","sampler-only evaluation log"
"local@ce455aa+dirty","results/stackone_rlt_pi05base_self_repeat_seed91042_20260509_014038/eval_base_a_pi05_reference_128/command.txt","1","359fc3eaa7cfcfc6dce1816aae4e1281444521e53ce865baa068bab99b4973a4","yes","1","included","exact 75-percent baseline command"
"local@ce455aa+dirty","results/stackone_rlt_pi05base_self_repeat_seed91042_20260509_014038/eval_base_a_pi05_reference_128/summary.json","32","c9946e30d5246f569ef05fd090525af8e1ab26542cb0ea3331b79605865b9d09","yes","1-32","included","96 of 128 baseline artifact"
"local@ce455aa+dirty","results/stackone_rlt_pi05base_self_repeat_seed91042_20260509_014038/eval_base_a_pi05_reference_128/eval_summary.md","8","2702d3ea167fb313be3a253f514d04f3a1e0e25d0cce5ca33e2e821be1db7727","yes","1-8","included","human-readable baseline summary"
"local@ce455aa+dirty","third_party_review/LaST-R1_stackone_bridge_20260518/transformers/**","","","no","","excluded-class","vendored third-party library outside first-party custom scope"
"local@ce455aa+dirty","external_refs/**;third_party/rlt_refs/**;third_party_review/RL-Token-SmolVLA/**","","","no","","excluded-class","reference mirrors; not reachable first-party 112-success code except cited comparison"
"local@ce455aa+dirty","**/.git/**;**/.venv*/**;**/__pycache__/**;**/build/**;assets/**","","","no","","excluded-class","metadata generated environments caches and assets"
"local@ce455aa+dirty","**/*.pt;**/*.pth;**/*.ckpt;**/*.safetensors;**/replay*/**","","","no","","excluded-class","binary checkpoints and replay artifacts; sidecar logs and configs used instead"
"local@ce455aa+dirty","results/stackone_pi05rlt_frombase_pi05_last_r1_bridge_iter7_v2d_sampler128_seed93107_20260519/online_lapo/chunk_reward_trace*.jsonl","","","no","","excluded-class","bulk 9.6MB step trace and 246KB episode trace; summary metrics and reward source reviewed"
"local@ce455aa+dirty","**/*.bak*;**/*.malformed*;unreachable dated *_copy.py families","","","no","","excluded-class","historical backups malformed files and non-reachable experiment branches"
"upstream-and-local","non-RLT RLinf algorithms environments generic tests docs and unrelated results","","","no","","excluded-class","outside RLT pi0.5 Stack-One actor critic reward rollout target boundary"
